Designator,Footprint,Quantity,Value,LCSC Part #
AC1,LGA-14_1,1,LSM6DSOXTR,
"C1, C3, C6",0603,3,10uF,
"C10, C11, C13, C14, C15, C16, C9",0603,7,100nF,
"C12, C17",CP_EIA-7343-31_Kemet-D,2,47uF,
"C2, C8",0603,2,1uF,
"C4, C5, C7",0603,3,22uF,
D1,D_SMC,1,B320,
"D2, D3, D4, D5, D6, D7, D8, D9",0603,8,LED,
"F1, F2",0PTF0078P,2,0PTF0078P,
"H1, H10, H11, H12, H15, H16, H17, H18, H19, H2, H20, H21, H22, H23, H24, H29, H3, H30, H31, H32, H33, H34, H35, H36, H38, H39, H4, H40, H41, H5, H6, H7, H8, H9",9775026360R,34,9775026360R,
"IC1, IC2",QFN50P300X300X90-17N,2,"TC78H660FTG,EL",
IC3,QFN50P400X400X90-25N,1,PI4IOE5V6416ZDEX,
J1,PinSocket_1x04_P2.54mm_Horizontal,1,OLED,
"J10, J9",JST_EH_B3B-EH-A_1x03_P2.50mm_Vertical,2,Conn_01x03_Male,
"J11, J2, J3, J6",PinSocket_1x04_P2.54mm_Vertical,4,Conn_01x04_Pin,
"J12, J13, J14, J8",JST_EH_B6B-EH-A_1x06_P2.50mm_Vertical,4,Conn_01x06_Pin,
"J15, J16, J17, J18",PinSocket_2x10_P2.54mm_Vertical,4,Conn_01x20_Pin,
J4,AMPHENOL_12402012E212A,1,12402012E212A,
J5,PinSocket_1x04_P2.54mm_Horizontal,1,Conn_01x04_Pin,
J7,PinSocket_1x06_P2.54mm_Horizontal,1,Conn_01x06_Pin,
"JP1, JP2, JP3",SolderJumper-3_P1.3mm_Open_Pad1.0x1.5mm,3,SolderJumper_3_Open,
LOGO1,Logo_Cat_Copper_5x5,1,Logo,
LOGO2,Logo_Cat_15x5,1,Logo,
"R1, R3",0603,2,5k1,
"R10, R11, R12, R14, R15, R16, R17, R18, R2, R20, R21, R22, R23, R24, R33, R34, R35, R36, R37, R4, R5, R6, R7, R8, R9",0603,25,10k,
"R13, R19",0603,2,47K,
"R25, R30, R31, R32",0603,4,130R,
"R26, R27, R28, R29",0603,4,300R,
"SW1, SW2",SW_Tactile_SPST_Angled_PTS645Vx83-2LFS,2,SW_Push,
"U1, U2, U3",SOT-223-3_TabPin2,3,AZ1117-3.3,
U4,ESP32-S3-WROOM-1U,1,ESP32-S3-WROOM-1,
U5,74LVC2G241DCUTG4,1,74LVC2G241DCUTG4,
