Designator,Mid X,Mid Y,Rotation,Layer
AC1,199.96198,-149.956811,0.0,bottom
C1,164.620707,-52.248873,180.0,bottom
C10,201.823381,-152.299222,180.0,bottom
C11,198.805222,-152.299268,180.0,bottom
C12,192.0,-75.0,270.0,bottom
C13,188.813959,-72.661235,270.0,bottom
C14,183.024408,-73.197092,270.0,bottom
C15,199.03073,-73.204686,270.0,bottom
C16,204.809382,-72.642113,270.0,bottom
C17,208.0,-75.0,270.0,bottom
C2,173.004742,-31.818392,180.0,bottom
C3,209.661795,-95.574017,90.0,bottom
C4,209.661795,-91.33792,90.0,bottom
C5,168.865979,-52.252046,180.0,bottom
C6,163.893827,-242.2,270.0,bottom
C7,163.893827,-236.33671,90.0,bottom
C8,173.01137,-36.381827,180.0,bottom
C9,203.343226,-90.928833,0.0,bottom
D1,224.362555,-93.703507,180.0,bottom
D2,225.801876,-32.553116,270.0,bottom
D3,245.861312,-32.531843,270.0,bottom
D4,243.009906,-32.539965,270.0,bottom
D5,237.312045,-32.549794,270.0,bottom
D6,240.149535,-32.512944,270.0,bottom
D7,234.490093,-32.533924,270.0,bottom
D8,231.567356,-32.546454,270.0,bottom
D9,228.725212,-32.567323,270.0,bottom
F1,215.9,-103.0,180.0,bottom
F2,185.42,-103.0,0.0,bottom
H1,271.858757,-90.869165,0.0,bottom
H10,275.297577,-98.919229,0.0,bottom
H11,240.0,-110.0,0.0,bottom
H12,240.0,-190.0,0.0,bottom
H15,275.0,-190.0,0.0,bottom
H16,220.0,-264.25,0.0,bottom
H17,191.0,-213.75,0.0,bottom
H18,209.0,-213.75,0.0,bottom
H19,160.0,-110.0,0.0,bottom
H2,266.297577,-83.330771,0.0,bottom
H20,160.0,-190.0,0.0,bottom
H21,140.869165,-221.858757,0.0,bottom
H22,147.25,-247.0,0.0,bottom
H23,147.25,-265.0,0.0,bottom
H24,180.0,-264.25,0.0,bottom
H29,125.0,-190.0,0.0,bottom
H3,259.130835,-78.141243,0.0,bottom
H30,128.141243,-209.130835,0.0,bottom
H31,140.869165,-78.141243,0.0,bottom
H32,133.702423,-83.330771,0.0,bottom
H33,128.141243,-90.869165,0.0,bottom
H34,124.702423,-98.919229,0.0,bottom
H35,125.0,-110.0,0.0,bottom
H36,220.0,-35.75,0.0,bottom
H38,180.0,-35.75,0.0,bottom
H39,147.25,-35.0,0.0,bottom
H4,252.75,-53.0,0.0,bottom
H40,147.25,-53.0,0.0,bottom
H41,275.0,-110.0,0.0,bottom
H5,252.75,-35.0,0.0,bottom
H6,271.858757,-209.130835,0.0,bottom
H7,259.130835,-221.858757,0.0,bottom
H8,252.75,-247.0,0.0,bottom
H9,252.75,-265.0,0.0,bottom
IC1,185.919796,-71.627174,0.0,bottom
IC2,201.919384,-71.620959,0.0,bottom
IC3,230.0,-57.25,270.0,bottom
J1,222.62,-42.38,90.0,bottom
J10,196.0,-89.0,270.0,bottom
J11,125.0,-134.3,180.0,top
J12,170.25,-218.576349,270.0,bottom
J13,229.75,-231.076349,90.0,bottom
J14,229.75,-78.54,90.0,bottom
J15,242.0,-59.14,0.0,top
J16,160.54,-59.14,0.0,top
J17,158.0,-240.86,180.0,top
J18,239.46,-240.86,180.0,top
J2,274.975,-165.7,0.0,bottom
J3,274.975,-126.7,0.0,bottom
J4,209.497987,-32.414388,180.0,bottom
J5,185.0,-42.5,90.0,bottom
J6,125.0,-173.3,180.0,top
J7,174.371219,-95.365539,270.0,bottom
J8,170.25,-66.04,270.0,bottom
J9,191.0,-89.0,270.0,bottom
R1,205.424873,-39.222779,0.0,bottom
R10,197.998321,-147.775014,180.0,bottom
R11,202.580176,-150.039395,90.0,bottom
R12,199.638873,-67.914918,0.0,bottom
R13,183.021877,-70.174704,90.0,bottom
R14,196.048377,-65.443029,270.0,bottom
R15,196.048377,-68.485168,270.0,bottom
R16,167.353628,-75.234801,90.0,bottom
R17,165.830065,-75.238454,90.0,bottom
R18,167.344579,-227.756786,90.0,bottom
R19,199.027356,-70.183986,90.0,bottom
R2,173.00876,-33.343693,0.0,bottom
R20,165.802449,-227.756786,90.0,bottom
R21,232.642554,-221.905112,270.0,bottom
R22,234.165001,-221.906922,270.0,bottom
R23,226.236979,-69.376379,270.0,bottom
R24,224.723493,-69.378107,270.0,bottom
R25,225.801875,-35.584466,90.0,bottom
R26,245.861312,-35.569343,90.0,bottom
R27,243.009906,-35.579777,90.0,bottom
R28,237.30902,-35.58422,90.0,bottom
R29,240.148593,-35.544577,90.0,bottom
R3,213.525063,-39.222779,0.0,bottom
R30,234.487977,-35.559437,90.0,bottom
R31,231.564654,-35.569343,90.0,bottom
R32,228.722625,-35.590211,90.0,bottom
R33,197.258956,-150.038633,90.0,bottom
R34,222.176728,-56.179367,90.0,bottom
R35,223.702687,-56.185286,90.0,bottom
R36,214.0,-66.0,90.0,bottom
R37,212.650533,-57.737271,90.0,bottom
R4,173.011511,-34.863447,0.0,bottom
R5,211.5,-147.075,270.0,bottom
R6,211.501195,-144.054378,270.0,bottom
R7,200.318951,-90.928833,180.0,bottom
R8,203.340972,-86.731788,0.0,bottom
R9,200.31592,-86.731788,180.0,bottom
SW1,168.775,-32.71624,0.0,bottom
SW2,158.9,-32.71624,0.0,bottom
U1,214.881651,-93.458047,0.0,bottom
U2,166.7454,-57.446469,90.0,bottom
U3,169.1,-238.45,0.0,bottom
U4,200.0,-50.0,0.0,bottom
U5,201.840936,-88.831837,180.0,bottom
